system:index,area,class_id,state,tenure,year,.geo
0_14_11,844.7727890685985,41,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,132.1360360473635,3,51,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,1507.1489045043875,4,51,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2,3.881288830566407,21,51,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,31105.72244470211,3,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,120366.93068448597,4,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,12555.09114818727,11,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,12797.022098376292,12,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,15928.993785394307,15,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,28423.682021875,21,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,3481.867935162367,24,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,2475.4693578186034,25,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,395.78696870727845,29,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_9,0.516620458984375,30,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_10,1327.4829698242197,33,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_11,418.00463937377896,39,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_12,8326.641229150455,41,51,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,177791.04969793648,3,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,444300.5156050228,4,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,13089.187321771307,11,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,7964.145165625003,12,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,115829.03139825494,15,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,164086.4104045054,21,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,484.48574001464897,24,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,7288.5022426086325,25,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,101.81029776611327,29,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_9,350.5062838867185,30,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_10,3312.3119179260243,33,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_11,8650.478393194526,39,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_12,14257.428026879878,41,51,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,275.19065266113284,3,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,49.05605057983397,4,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_2,1.8992211730957034,11,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_3,410.69796791380685,12,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_4,24.750184161376946,15,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_5,17.3613332458496,21,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_6,1.751559088134766,25,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_7,6.246324707031257,39,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_8,47.71314611206042,41,51,101,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,588.3880304504393,3,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1,548.5212140808103,4,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_2,11.877659771728517,11,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_3,26.989337622070313,12,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_4,68.07941122436529,15,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_5,107.18278264770495,21,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_6,44.27658084106445,25,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_7,118.90138543701168,33,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_8,51.50481177368165,41,51,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,97.95617835083009,3,51,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1,1417.8456009704876,4,51,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_2,73.25843398437505,15,51,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_3,1.1211933959960936,21,51,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_4,20.01606721191408,25,51,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,1366.4251441833471,3,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1,2594.381533563238,4,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_2,12035.54459653328,11,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_3,73.22775990600587,12,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_4,257.37091129150383,15,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_5,1.0329223876953129,21,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_6,17.566734527587883,25,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_7,393.75015626831083,33,51,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,1.6441672119140627,25,51,105,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1,1.5576391418457032,33,51,105,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,1926.6089144408884,3,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_1,2206.766950378402,4,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_2,86.12416159057757,15,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_3,236.58879655151227,21,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_4,4.301512750244142,25,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_5,0.6021017944335938,33,51,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,1000.1680877502416,3,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_1,3886.494457556125,4,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_2,8.864360742187502,11,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_3,6.3646150634765615,12,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_4,116.81136454467787,15,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_5,600.0197574218756,21,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_6,44.244586651611364,25,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_7,8.351977655029307,30,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_8,4.476350079345704,33,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_9,16.52789499511721,41,51,108,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,48168.019482891876,3,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_1,189597.6469730057,4,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_2,23780.91093900752,11,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_3,3017.1097267333985,12,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_4,27772.000002160643,15,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_5,45541.40830804466,21,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_6,0.8759324584960938,24,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_7,1026.3644697692885,25,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_8,0.085727392578125,29,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_9,361.37238892211917,33,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_10,1861.5240917724077,39,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_11,2580.8902573608493,41,51,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,2424.0673776123085,3,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_1,15251.937879114386,4,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_2,21.955371307373053,11,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_3,7.53010966796875,12,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_4,693.6358040771452,15,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_5,1624.4837119873043,21,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_6,55.16462254638674,25,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_7,39.2582612121582,33,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_8,1.384119268798828,39,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_9,225.29925540161167,41,51,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,521.9034761169469,3,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_1,297.97587994384537,4,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_2,3.1368395141601564,11,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_3,1.5670042114257814,15,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_4,4.266490399169921,21,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_5,103.82856149291986,33,51,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,10524.432758917215,3,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_1,34392.295575744276,4,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_2,337.27752780761676,11,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_3,676.7785932861298,12,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_4,2854.6383492919895,15,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_5,5879.084799707021,21,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_6,0.08661207885742188,24,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_7,344.47348782958977,25,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_8,65.1715970886229,30,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_9,104.92523544311524,33,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_10,106.59362349853495,39,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_11,464.3082651000963,41,51,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,148931.7386351492,3,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_1,339696.3746597908,4,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_2,8907.460890106182,11,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_3,13940.044207458488,12,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_4,73345.12098574186,15,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_5,128439.39055346715,21,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_6,138.45036896362302,24,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_7,6354.7679928710995,25,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_8,69.38242647094734,29,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_9,102.02733714599576,30,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_10,738.5851921325676,33,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_11,14526.561029180883,39,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_12,65485.990637451,41,51,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,32307.920234295645,3,51,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
